Alleged deployer of AI system,risk_domain,Entity,Intent,deployer_category,developer_category,frequency,year,month,log_expected_loss
"[""facebook"",""meta""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,8,5.537957874467922
"[""target""]",2. Privacy & Security,AI,Intentional,unregulated_startup,unregulated_startup,76,2003,6,4.164408841230285
"[""appriss"",""narxcare"",""avertd""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,7,5.228972390475821
"[""cruise""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,4,5.228972390475821
"[""oregon-state-university""]","7. AI system safety, failures, and limitations",AI,Unintentional,academic_lab,unregulated_startup,32,2022,3,3.242262626065278
"[""google-docs""]",5. Human-Computer Interaction,AI,Intentional,regulated_corporation,regulated_corporation,364,2022,4,5.202311628313143
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,4,5.228972390475821
"[""openai""]",1. Discrimination and Toxicity,AI,Intentional,regulated_corporation,regulated_corporation,364,2022,4,5.537957874467922
"[""malaysian-judiciary"",""malaysian-courts""]",5. Human-Computer Interaction,Human,Intentional,public_agency,public_agency,101,2020,2,4.509091375065256
"[""cruise""]","7. AI system safety, failures, and limitations",Human,Unintentional,regulated_corporation,regulated_corporation,364,2022,2,5.228972390475821
"[""cruise""]","7. AI system safety, failures, and limitations",Human,Unintentional,regulated_corporation,regulated_corporation,364,2018,6,5.228972390475821
"[""airbnb""]",1. Discrimination and Toxicity,AI,Intentional,regulated_corporation,regulated_corporation,364,2017,7,5.537957874467922
"[""companhia-do-metropolitano-de-sao-paulo""]",2. Privacy & Security,Human,Intentional,public_agency,unregulated_startup,101,2018,4,4.589541433641435
"[""tiktok""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,3,5.358791362346466
"[""spanish-ministry-of-interior""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,public_agency,101,2007,7,4.5356481905260555
"[""salta-city-government""]",1. Discrimination and Toxicity,Human,Intentional,public_agency,regulated_corporation,101,2018,4,2.9883393951165784
"[""uk-department-of-work-and-pensions""]",1. Discrimination and Toxicity,Human,Intentional,public_agency,regulated_corporation,101,2019,10,2.9883393951165784
"[""bytedance""]",2. Privacy & Security,Human,Intentional,regulated_corporation,regulated_corporation,364,2017,1,5.6231548999827705
"[""estee-lauder""]",5. Human-Computer Interaction,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,3,5.202311628313143
"[""target""]",2. Privacy & Security,Human,Unintentional,unregulated_startup,regulated_corporation,76,2013,11,1.871329978736919
"[""pakistan-national-database-and-registration-authority""]",5. Human-Computer Interaction,Human,Intentional,public_agency,public_agency,101,2013,9,4.509091375065256
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,10,5.228972390475821
"[""ever-ai""]",2. Privacy & Security,Human,Intentional,unregulated_startup,unregulated_startup,76,2019,4,4.164408841230285
"[""extinction-rebellion-belgium""]",3. Misinformation,Human,Intentional,open_source_community,freelancer_or_individual,7,2020,4,2.1498785021862408
"[""uber""]","7. AI system safety, failures, and limitations",AI,Intentional,regulated_corporation,regulated_corporation,364,2022,2,5.228972390475821
"[""zhihu""]",2. Privacy & Security,Human,Intentional,regulated_corporation,regulated_corporation,364,2022,2,5.6231548999827705
"[""tinder""]",1. Discrimination and Toxicity,AI,Intentional,unregulated_startup,regulated_corporation,76,2015,3,1.7956682427651083
"[""honolulu-police-department""]",5. Human-Computer Interaction,Human,Intentional,public_agency,regulated_corporation,101,2021,1,2.6658839053470507
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,5,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Intentional,regulated_corporation,regulated_corporation,364,2020,10,5.228972390475821
"[""taxis-g7""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,12,5.228972390475821
"[""xpeng-motors""]",2. Privacy & Security,Human,Intentional,regulated_corporation,freelancer_or_individual,364,2021,1,4.664353859988363
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,7,5.228972390475821
"[""lockport-city-school-district""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,unregulated_startup,101,2020,1,4.504761472425569
"[""facebook""]","7. AI system safety, failures, and limitations",Human,Intentional,regulated_corporation,regulated_corporation,364,2020,4,5.228972390475821
"[""wechat""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,10,5.537957874467922
"[""evolver""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,open_source_community,76,2016,11,4.16087218965069
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,6,5.228972390475821
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,11,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,3,5.228972390475821
"[""satria-technologies""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,regulated_corporation,76,2020,7,1.7956682427651083
"[""hive-box""]",2. Privacy & Security,Human,Intentional,unregulated_startup,open_source_community,76,2019,10,4.552658995650061
"[""wechat-pay""]",2. Privacy & Security,Human,Intentional,regulated_corporation,regulated_corporation,364,2020,7,5.6231548999827705
"[""jupiter-hospital"",""memorial-sloan-kettering""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,4,5.228972390475821
"[""waze""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2015,4,5.228972390475821
"[""waze""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,1,5.228972390475821
"[""apple""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,2,5.228972390475821
"[""youtube""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,4,5.537957874467922
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,3,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,1,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,4,5.228972390475821
"[""tumblr""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,regulated_corporation,76,2018,12,1.5278915676210554
"[""waze""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,9,5.228972390475821
"[""ping-an""]",1. Discrimination and Toxicity,Human,Intentional,regulated_corporation,regulated_corporation,364,2016,4,5.537957874467922
"[""oregon-department-of-human-services""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,public_agency,101,2018,10,4.84361050004615
"[""intensive-partnerships-for-effective-teaching""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,unregulated_startup,32,2009,9,3.5447956009710757
"[""github"",""programmers""]","7. AI system safety, failures, and limitations",AI,Unintentional,open_source_community,open_source_community,7,2021,6,2.099879232325629
"[""chakan-plant-of-automotive-stampings-and-assemblies""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,freelancer_or_individual,364,2021,2,4.272182170666198
"[""contra-costa-county-sheriff""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,unregulated_startup,101,2018,11,4.197622770164779
"[""castricum-municipality""]","7. AI system safety, failures, and limitations",Human,Intentional,public_agency,public_agency,101,2016,2,4.5356481905260555
"[""cruise""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,5,5.228972390475821
"[""google""]",2. Privacy & Security,AI,Unintentional,regulated_corporation,regulated_corporation,364,2015,5,5.6231548999827705
"[""chicago-police-department""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,regulated_corporation,101,2020,5,2.6913348121172347
"[""chicago-police-department""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,regulated_corporation,101,2021,11,2.6913348121172347
"[""kansas-city-police-department"",""cleveland-division-of-police"",""chicago-police-department"",""atlanta-police-department""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,regulated_corporation,101,2012,5,2.9883393951165784
"[""yannic-kilcher""]",1. Discrimination and Toxicity,Human,Intentional,freelancer_or_individual,freelancer_or_individual,53,2022,6,4.115440548748267
"[""us-department-of-homeland-security"",""us-citizenship-and-immigration-services""]",1. Discrimination and Toxicity,Human,Intentional,public_agency,public_agency,101,2014,8,4.84361050004615
"[""society-for-the-prevention-of-cruelty-to-animals""]",1. Discrimination and Toxicity,Human,Intentional,public_agency,unregulated_startup,101,2017,11,4.504761472425569
"[""boris-dayma""]",1. Discrimination and Toxicity,AI,Unintentional,freelancer_or_individual,open_source_community,53,2022,6,4.2029092554300576
"[""youtube""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2015,9,5.537957874467922
"[""speedcam-anywhere""]",5. Human-Computer Interaction,Human,Unintentional,unregulated_startup,unregulated_startup,76,2022,3,3.748028230934884
"[""uber-eats""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,4,5.537957874467922
"[""replika""]",5. Human-Computer Interaction,Human,Intentional,unregulated_startup,unregulated_startup,76,2022,1,3.748028230934884
"[""clearview-ai""]",2. Privacy & Security,Human,Intentional,unregulated_startup,unregulated_startup,76,2017,6,4.164408841230285
"[""youtube"",""twitter"",""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,3,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,7,5.228972390475821
"[""grab""]",1. Discrimination and Toxicity,AI,Intentional,regulated_corporation,unregulated_startup,364,2019,10,0.5245171426002329
"[""faceapp""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,unregulated_startup,76,2020,12,4.079971702480274
"[""virginia-courts""]",1. Discrimination and Toxicity,Other,Unintentional,public_agency,public_agency,101,2003,7,4.84361050004615
"[""facebook""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,6,5.537957874467922
"[""meta""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,8,5.537957874467922
"[""tiktok""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,7,5.537957874467922
"[""coffee-meets-bagel""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,unregulated_startup,76,2013,7,4.079971702480274
"[""youtube""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,2,5.537957874467922
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,10,5.228972390475821
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,7,5.228972390475821
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Intentional,regulated_corporation,regulated_corporation,364,2018,5,5.228972390475821
"[""google""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,7,5.228972390475821
"[""tiktok""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,2,5.537957874467922
"[""starship-technologies""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,unregulated_startup,76,2020,6,3.774347910310237
"[""toronto-city-government""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,public_agency,101,2022,6,4.5356481905260555
"[""tesla""]",5. Human-Computer Interaction,Human,Intentional,regulated_corporation,regulated_corporation,364,2021,5,5.202311628313143
"[""apple""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,9,5.228972390475821
"[""cruise""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,6,5.228972390475821
"[""tesla""]",5. Human-Computer Interaction,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,5,5.202311628313143
"[""new-york-police-department""]",2. Privacy & Security,Human,Unintentional,public_agency,freelancer_or_individual,101,2018,11,4.847295084747077
"[""twitter""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,2,5.537957874467922
"[""smart-columbus""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,unregulated_startup,101,2020,2,4.197622770164779
"[""yuen-ler-chow""]","7. AI system safety, failures, and limitations",AI,Unintentional,freelancer_or_individual,freelancer_or_individual,53,2021,10,3.8096643280021065
"[""tiktok""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,1,5.537957874467922
"[""broward-college""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,unregulated_startup,32,2022,2,3.5447956009710757
"[""geisel-school-of-medicine""]",5. Human-Computer Interaction,Human,Intentional,academic_lab,academic_lab,32,2021,3,3.532477132764642
"[""google""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,8,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,11,5.228972390475821
"[""youtube""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,2,5.358791362346466
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,5,5.228972390475821
"[""apple""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,11,5.228972390475821
"[""boston-dynamics""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,7,5.228972390475821
"[""south-wales-police""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,regulated_corporation,101,2017,6,2.6913348121172347
"[""youtube""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,5,5.228972390475821
"[""sanas""]",1. Discrimination and Toxicity,Human,Intentional,unregulated_startup,unregulated_startup,76,2021,8,4.079971702480274
"[""meta""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,8,5.358791362346466
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,3,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,12,5.228972390475821
"[""tesla""]",5. Human-Computer Interaction,Human,Unintentional,regulated_corporation,regulated_corporation,364,2018,1,5.202311628313143
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,3,5.228972390475821
"[""tesla""]",5. Human-Computer Interaction,Human,Unintentional,regulated_corporation,regulated_corporation,364,2019,12,5.202311628313143
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,5,5.228972390475821
"[""facebook""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,9,5.537957874467922
"[""facebook""]",5. Human-Computer Interaction,AI,Unintentional,regulated_corporation,regulated_corporation,364,2014,12,5.202311628313143
"[""facebook""]",5. Human-Computer Interaction,AI,Unintentional,regulated_corporation,regulated_corporation,364,2015,3,5.202311628313143
"[""amazon""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,12,5.228972390475821
"[""instagram""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,8,5.537957874467922
"[""google""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,4,5.537957874467922
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,3,5.228972390475821
"[""uber""]","7. AI system safety, failures, and limitations",AI,Intentional,regulated_corporation,regulated_corporation,364,2014,10,5.228972390475821
"[""uk-visas-and-immigration""]",1. Discrimination and Toxicity,AI,Intentional,public_agency,public_agency,101,2015,3,4.84361050004615
"[""uk-home-office""]",1. Discrimination and Toxicity,AI,Intentional,public_agency,public_agency,101,2015,3,4.84361050004615
"[""tesla""]",5. Human-Computer Interaction,Human,Intentional,regulated_corporation,regulated_corporation,364,2021,4,5.202311628313143
"[""students""]",5. Human-Computer Interaction,Human,Intentional,academic_lab,unregulated_startup,32,2022,9,3.216255433822125
"[""honda""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,2,5.228972390475821
"[""nissan""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,4,5.228972390475821
"[""facebook"",""instagram"",""twitter""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,7,5.537957874467922
"[""myinterview"",""curious-thing""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,unregulated_startup,76,2021,7,3.774347910310237
"[""insurance-companies""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,4,5.228972390475821
"[""waymo""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,5,5.228972390475821
"[""youtube""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,11,5.358791362346466
"[""charlotte-mecklenburg-school-district""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,unregulated_startup,101,2022,3,4.197622770164779
"[""serve-robotics""]",5. Human-Computer Interaction,Human,Intentional,unregulated_startup,unregulated_startup,76,2022,9,3.748028230934884
"[""@tengazillioiniq""]",1. Discrimination and Toxicity,Human,Intentional,freelancer_or_individual,freelancer_or_individual,53,2022,9,4.115440548748267
"[""stephan-de-vries""]",2. Privacy & Security,Human,Intentional,freelancer_or_individual,open_source_community,53,2022,9,4.287460995281488
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,3,5.228972390475821
"[""uber""]","7. AI system safety, failures, and limitations",Human,Intentional,regulated_corporation,regulated_corporation,364,2020,6,5.228972390475821
"[""uber""]","7. AI system safety, failures, and limitations",AI,Intentional,regulated_corporation,regulated_corporation,364,2018,7,5.228972390475821
"[""murat-ayfer""]",1. Discrimination and Toxicity,AI,Unintentional,freelancer_or_individual,open_source_community,53,2020,9,4.2029092554300576
"[""openai""]",2. Privacy & Security,AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,2,5.6231548999827705
"[""cadillac-fairview""]",2. Privacy & Security,Human,Intentional,regulated_corporation,freelancer_or_individual,364,2018,6,4.664353859988363
"[""facebook"",""instagram"",""twitter""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,5,5.537957874467922
"[""mcdonald's""]",2. Privacy & Security,Human,Intentional,regulated_corporation,unregulated_startup,364,2021,10,0.5746855644883028
"[""amazon""]",2. Privacy & Security,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,5,5.6231548999827705
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,7,5.228972390475821
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,1,5.228972390475821
"[""walmart""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,unregulated_startup,364,2020,4,0.3575483612357528
"[""tiktok""]",1. Discrimination and Toxicity,Human,Intentional,regulated_corporation,regulated_corporation,364,2020,9,5.537957874467922
"[""openai"",""google""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,6,5.537957874467922
"[""the-israel-military""]",2. Privacy & Security,Human,Intentional,public_agency,unregulated_startup,101,2016,6,4.589541433641435
"[""google""]",2. Privacy & Security,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,7,5.6231548999827705
"[""michigan-unemployment-insurance-agency""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,regulated_corporation,101,2013,10,2.6913348121172347
"[""uk-office-of-qualifications-and-examinations-regulation""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,public_agency,101,2020,8,4.84361050004615
"[""krungthai-bank""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,9,5.228972390475821
"[""weibo""]",5. Human-Computer Interaction,Human,Intentional,regulated_corporation,regulated_corporation,364,2022,10,5.202311628313143
"[""tusimple""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,4,5.228972390475821
